CHAN_SEQ,PU_GAP,AREAKM,SINUOUS,URBWT,AGWT,WATWT,WETWT,DARWT,DARRT
71102,badri161,31.6584,1.539,4.207414146,13.35569707,0.073914032,0.355355924,-17.1212,8.5234
71103,badri162,2.565,1.114,2.736842105,0,0.210526316,3.614035088,0,0
71104,badri163,4.5765,1.303,0.334316618,0,0,0,1.353,0.7853
71105,badri164,25.3206,1.868,4.076917609,12.20942632,0.092414872,0.302125542,-21.4475,10.5502
71106,badri165,1.5444,1.194,4.836829837,10.95571096,0,8.974358974,-130.8304,298.1127
71108,badri167,1.2708,1.497,0.779036827,0,0,0,3.3633,1.6114
71109,badri168,3.546,1.37,0,0,0.203045685,2.538071066,-0.0005,0
71110,badri169,12.9411,1.063,6.085263231,19.47979693,0.18081925,0.215592183,-3.2098,6.5742
71111,badri170,6.9012,1.147,1.799687011,0,0,0,21.4663,4.8736
71112,badri171,1592.9865,2.196,3.085958356,5.918468236,1.243852349,14.21989452,-29.3491,26.5315
71113,badri172,3.0744,1.304,3.571428571,0,0.322014052,0,10.4977,12.304
71114,badri173,1.8108,1.099,3.330019881,0,0,0,0.4058,0.0075
71115,badri174,844.5528,2.064,2.707610466,6.378464437,3.113517592,7.676109771,0.0001,-0.0001
71116,badri175,2.0088,1.219,0.134408602,0,0,0,1.2926,2.8566
71117,badri176,13.4109,1.488,0.979800013,0,0.040265754,30.87712234,52.5063,124.9557
71118,badri177,0.7578,1.137,6.294536817,0,0,0,0,0
71119,badri178,662.9598,1.221,5.193980087,4.186543437,2.961899047,22.74762361,-91.9706,151.3408
71120,badri179,12.717,1.275,5.704175513,18.07501769,0.099079972,0.813871196,4.1369,0.9486
71121,badri180,1.7856,1.21,9.929435484,0,0,0,0.6089,1.4605
71122,badri181,0.4923,13.097,0,0,4.387568556,32.90676417,-0.0018,0
71123,badri182,0.4185,1.153,4.086021505,3.225806452,0,1.720430108,0.0258,0.0033
71124,badri183,1.899,1.373,0,0,3.838862559,29.76303318,-39.7427,124.3701
71125,badri184,0.3726,1.277,9.178743961,0,0,0,0.2995,0.3179
71126,badri185,12.0915,1.201,1.957573502,4.719017492,0,0.037216226,-41.4775,17.2031
71127,badri186,7.524,1,2.464114833,5.741626794,0,0,-70.2105,23.3233
71128,badri187,838.449,1.844,2.719056257,6.424898831,3.136183596,7.716319061,0.0001,-0.0001
71129,badri188,2.0358,1.09,1.061007958,3.448275862,0,0.574712644,1.8134,0.4902
71130,badri189,8.6409,1.376,6.863868347,23.34131861,0.135402562,0.06249349,-7.5542,5.4942
71131,badri190,3.7278,1.084,1.859005311,0,0,3.090294544,0,0
71132,badri191,1.1232,1.072,0,0,0.240384615,4.006410256,-4.3734,-13.6513
71134,badri193,4.2597,1.143,4.563701669,11.83181914,0.27466723,0.105641242,5.5734,9.3355
71135,badri194,672.1623,2.438,5.128091831,4.158147519,2.968613384,22.58267088,-92.378,149.8771
71136,badri195,648.9324,1.519,5.286005137,4.277040259,3.014412595,22.5940175,-95.8867,151.6663
71137,badri196,27.0711,1.352,3.404368496,0.073140729,0.16622893,2.041291266,7.5647,2.8967
71138,badri197,674.7498,1.152,5.108426857,4.142202043,3.016451431,22.53208523,-92.5036,148.8683
71139,badri198,3.0339,1.217,0.207653515,4.568377336,0,0,8.7829,14.8836
71140,badri199,1.8594,1.002,0,0,0,0,0,0
71141,badri200,3.8277,1.851,0.329179403,0.799435692,0.399717846,8.017869739,-0.0002,0
71142,badri201,1.4751,1.138,1.708358755,0.488102502,0,0.183038438,0.3319,0.24
71143,badri202,818.8263,1.615,2.753880768,6.578867826,3.208482678,7.790773208,0.0001,-0.0001
71144,badri203,1.0566,1.047,0,0,0.936967632,0,14.3186,19.3489
71145,badri204,4.7466,1.215,3.67842245,11.18695487,0,20.15547971,-7.9524,98.8326
71146,badri205,547.7022,1.028,5.923182343,4.73463499,3.509936604,22.40246616,-108.9017,142.2641
71147,badri206,10.2087,1.266,7.617032531,0.193952217,0,0.634752711,20.0197,9.7105
71148,badri207,6.3162,1.633,8.535195212,0.142490738,0,0.641208321,28.0928,18.4062
71149,badri208,13.7916,1.277,5.638214565,0.143565649,0,0.646045419,14.8485,5.9442
71150,badri209,1.9737,1.124,0,0,0,0,0.1938,0.4825
71151,badri210,680.2281,1.127,5.070328615,4.247369375,3.001684288,22.41452536,-92.9019,147.2636
71152,badri211,5.2488,1.217,4.475308642,21.6563786,0,0.360082305,0.197,0.1691
71153,badri212,99.594,1.598,1.868787276,1.830833183,0.184348455,23.6083499,-45.3258,212.4195
71154,badri213,1589.8014,1.502,3.09129178,5.930325637,1.229021436,14.21022777,-29.6959,27.0613
71155,badri214,12.0258,1.425,1.234845083,0,0.209549469,1.10013471,-0.0007,-0.0009
71156,badri215,686.6073,1.239,5.037901578,4.272136343,2.986117392,22.25359387,-92.0525,145.2414
71157,badri216,6.1794,1.065,8.374599476,11.50597145,0,22.76434605,-2.62,67.6215
71158,badri217,5.5116,1.168,7.78902678,28.54343566,0,0.09797518,-1.0395,4.6064
71159,badri218,9.027,1.208,1.09670987,0,0.099700897,0.558325025,-0.0002,0
71160,badri219,1.8612,1.011,0.338491296,7.446808511,0,0,9.6204,19.1969
71161,badri220,52.8984,2.103,1.434258881,2.606506057,0.047638492,2.917857629,0,0
71162,badri221,1575.9243,1.24,3.109089694,5.982546243,1.225223826,14.30120723,-31.3076,29.3179
71163,badri222,0.6498,1.047,9.556786704,0,0,0,21.5596,14.3361
71164,badri223,1.4337,1.108,1.31826742,0,0,0,24.7834,9.5914
71165,badri224,765.4662,1.636,2.846735754,6.857350462,3.428851594,8.12939879,0.0001,-0.0001
71166,badri225,2.925,1.086,8.369230769,26.86153846,0,0.184615385,-2.5052,8.8746
71167,badri226,2.7117,1.104,6.040491205,16.36242947,0.431463657,0,-21.9588,8.0394
71168,badri227,3.3363,1.398,0.620447801,21.79660103,0,7.742109523,-22.2824,-30.7478
71169,badri228,0.6255,1.04,0,0,0,0,12.4921,8.1398
71170,badri229,18.207,1.215,1.36431043,0,0.128521997,4.483440435,0,0
71171,badri230,42.8283,1.071,1.300775422,1.819824742,0.052535356,2.477567403,0,0
71172,badri231,1.0422,1.093,0,0,0,0,0,0
71173,badri232,2.376,1.222,2.083333333,0,0,0.416666667,-0.0019,-0.0043
71174,badri233,1563.4647,2.993,3.12811028,6.029013639,1.231361348,14.39215097,-32.9114,30.4742
71175,badri234,1556.5239,1.083,3.136855142,6.055898017,1.207768156,14.38347333,-33.878,32.0178
71176,badri235,5.0121,1.184,2.603699048,0,0.089782726,3.429700126,0,0
71177,badri236,0.8145,1.11,0,0,0,0,0,0
71178,badri237,12.1518,1.238,0.740631018,0.155532514,0.222189305,2.429269738,0,0
71179,badri238,1559.0484,1.378,3.136971245,6.046091962,1.21043067,14.37213239,-33.5199,31.3673
71180,badri239,0.7713,1.351,0,0,0,0,0.2952,0.5085
71181,badri240,0.261,1.081,0,0.689655172,0,0,1.1621,1.2788
71182,badri241,3.7431,1.334,1.635008415,0,0.240442414,0.144265448,0,0
71183,badri242,2.2878,1.154,8.064516129,34.42171518,0,0,0.6987,1.2411
71184,badri243,6.0795,1.247,2.738712065,7.10584752,0,0,-92.7372,31.2401
71185,badri244,1.1997,1.112,0,0,0,0,0.1268,0.4581
71186,badri245,750.7638,1.584,2.852734775,6.763392161,3.492523214,8.228060543,0.0001,-0.0001
71187,badri246,8.4924,1.153,2.077151335,0,0.084781687,0.169563374,-188.1137,46.4746
71188,badri247,5.7501,1.173,1.784316794,0,1.205196431,19.20488339,-207.9088,182.525
71189,badri248,2.9088,1.221,1.175742574,15.16089109,0,3.589108911,0.1067,1.6285
71190,badri249,506.4651,2.169,6.146366255,4.747849358,3.785769246,23.841781,-108.9775,130.7603
71191,badri250,9.4806,1.309,5.610404405,25.62179609,0,14.22061895,-63.9602,120.1275
71192,badri251,2.8629,1.203,1.320339516,0,0,1.571832757,0,0
71193,badri252,0.9486,1.372,4.743833017,0,0,1.897533207,0,0
71194,badri253,1.8045,1.383,4.039900249,0,0.29925187,0.448877805,-0.0025,0
71195,badri254,0.6111,1.082,0,0,0,0,17.3873,19.268
71196,badri255,718.8696,2.076,2.813417065,5.97024829,3.642593872,8.470799155,0.0002,0
71197,badri256,1.773,1.358,1.52284264,24.87309645,0,0,-0.0011,0
71198,badri257,2.7558,1.228,5.486610059,0.391900718,0,0.881776617,9.5202,3.1742
71199,badri258,1.6245,1.092,2.770083102,8.698060942,0,0,6.5208,9.0609
71200,badri259,710.9712,1.144,2.808847953,5.840109979,3.681541531,8.550346343,0.0003,0
71201,badri260,1.0377,1.112,0.607111882,13.35646141,0,0,6.7259,22.8723
71202,badri261,34.0218,1.148,1.423205121,2.29088408,0.026453627,2.801439077,0,0
71203,badri262,43.1928,1.108,7.426237706,21.00766794,0.052092015,16.52358726,-123.2428,213.0404
71204,badri263,1551.9735,1.353,3.138165697,6.073653964,1.210091538,14.42181841,-34.5432,33.166
71205,badri264,0.0864,1,5.208333333,46.875,0,7.291666667,-15.7188,120.7727
71206,badri265,43.3008,1.023,7.418107749,21.04880279,0.051962088,16.51978716,-122.8311,211.5166
71207,badri266,4.0221,1.027,10.3378832,5.571716268,0.134258223,12.10561647,-207.7663,136.2933
71208,badri267,23.7159,1.048,9.445561838,15.79826193,0.09487306,15.91969944,-152.8509,259.4615
71209,badri268,2.1168,1.058,9.013605442,38.90306122,0,0,0.2389,0.172
71210,badri269,1.5246,1.283,0,0,1.357733176,22.49114522,0,0
71211,badri270,1.8315,1.101,2.407862408,17.1007371,0,0.933660934,0.2885,0.3128
71212,badri271,4.4199,1.255,2.769293423,0,0.081449807,0.081449807,-0.0016,-0.0015
71213,badri272,0.8334,1.1,7.235421166,19.54643629,0,0,0.473,0.6714
71214,badri273,0.7173,1.077,6.649937265,26.22333752,0,0,7.1844,9.2065
71215,badri274,0.7713,1.284,4.200700117,27.77129522,0,1.750291715,0,0
71216,badri275,1.9377,1.12,7.385044124,18.71806781,0,0,6.7854,12.7311
71217,badri276,492.7293,1.461,6.2899446,4.799653684,3.829932582,24.15370874,-109.5053,132.1017
71218,badri277,228.8358,1,3.755574958,1.791065908,7.074985645,22.4732756,-104.3841,112.6667
71219,badri278,10.728,1.395,6.224832215,21.13255034,0.117449664,0.897651007,4.8582,1.2297
71220,badri279,709.1451,1.871,2.812273539,5.79296113,3.691021767,8.572364104,0.0003,0
71037,badri28,2492.5986,1.646,2.92985802,5.947022517,1.915398653,12.07302692,-14.3484,12.5493
71221,badri280,3.8016,1.244,1.231060606,0,0,0.402462121,0,0
71222,badri281,1.0053,1.07,12.35452104,62.13070725,0,0,0.9302,2.0828
71223,badri282,257.7852,1.092,8.618221682,7.481112182,1.028181602,26.1395534,-117.6604,207.8797
71224,badri283,27.2934,1.063,22.47246587,13.92864209,0.059355009,16.33911495,-118.2014,268.769
71225,badri284,262.647,1.681,8.527910085,7.400884076,1.009149162,25.7183977,-117.3015,201.7245
71226,badri285,41.1642,1.478,3.18772137,4.580436399,0.067777341,4.628536447,-108.3997,240.9241
71227,badri286,180.3798,1.097,7.118978954,3.464190558,1.427488,30.13391743,-120.2786,174.0688
71228,badri287,8.1657,1.103,3.901686322,3.637165215,0.176347404,9.500716411,-91.4813,319.6797
71229,badri288,210.2148,1.819,9.034045177,4.819498913,1.238590242,28.04916685,-122.5755,213.5795
71230,badri289,21.213,1.141,0.793381417,1.4806958,0.042426814,2.800169707,0,0
71231,badri290,704.4318,1.209,2.821763583,5.7737172,3.714184964,8.613239777,0.0004,0
71232,badri291,20.2095,1.115,3.798708528,5.2415943,0.102427076,6.537519483,-115.7242,215.0927
71233,badri292,1.5705,1.12,15.35816619,5.787965616,0.630372493,0.515759312,33.016,19.1267
71234,badri293,2.7261,1.078,10.66358534,0,0.297127765,0,24.6342,13.4811
71236,badri295,1.4859,1.093,7.692307692,17.20169594,0.787401575,0,-43.6814,10.5444
71237,badri296,27.0468,1.283,4.305869826,29.03633702,0,2.725276188,-0.0001,-0.0007
71238,badri297,2.628,1.17,9.315068493,29.82876712,0,0.205479452,-2.9082,11.5166
71239,badri298,5.8563,1.377,2.197633318,0,0.184416782,3.012140771,0,0
71240,badri299,68.0535,1.179,5.357402632,0.849037889,8.059247504,1.109568207,-810.6469,298.2554
71241,badri300,6.0264,1.168,3.016726404,21.65471924,0,1.329151732,0,0
71242,badri301,0.5292,1.025,3.231292517,0.850340136,2.721088435,5.782312925,-1400.2841,296.2464
71243,badri302,15.6294,1.168,0.944374064,1.813889209,0,3.65657031,0,0
71246,badri305,2.4921,1.467,2.275189599,72.69772481,0,0,0,0
71247,badri306,1.8252,1.134,4.142011834,71.54832347,0,2.169625247,0,0
71248,badri307,12.0582,1.217,11.38229587,7.822062994,0.097029407,17.97283177,-64.184,285.7577
71249,badri308,1.5264,1.758,0,0.943396226,0,5.188679245,-130.1869,81.6096
71250,badri309,1.8153,1.116,7.535944472,36.29152206,0,3.272186415,-99.6411,145.6151
71251,badri310,2.0115,1.289,1.431767338,1.029082774,0,0.357941834,1.196,0.9481
71252,badri311,4.0014,1.345,3.10391363,0.989653621,0.247413405,0.584795322,11.8851,5.8113
71253,badri312,3.9339,1.304,2.173415694,0,0.1143903,3.91214825,0,0
71254,badri313,68.7609,1.011,5.348097538,0.840303137,8.104605961,1.20809937,-818.0648,429.2587
71255,badri314,3.0114,1.236,1.703526599,0,0,10.25104603,0.5556,0.475
71256,badri315,1.3176,1.162,1.775956284,0,0,1.707650273,0,0
71257,badri316,24.2973,1.565,24.33974145,11.53461496,0.066674075,17.30562655,-119.0763,289.5632
71258,badri317,6.4908,1.188,0.665557404,0.291181364,0.402107598,3.54963949,0,0
71259,badri318,0.9459,1.558,6.08943863,10.56137012,0,7.040913416,-248.9733,226.9899
71260,badri319,13.4775,1.21,38.91819699,3.619365609,0.120200334,12.02671119,-124.8059,303.7769
71261,badri320,13.7727,1.191,4.012285173,32.56877736,0,2.796837221,0,0
71262,badri321,701.7399,1.911,2.810528516,5.717887781,3.70303869,8.642048143,0.0004,0
71263,badri322,1.0944,1.161,0,0,0,0.986842105,0.0049,0
71264,badri323,4.5468,1.127,13.40063341,26.80126683,0.098970705,0.890736342,0.6407,83.1256
71265,badri324,11.1159,1.07,8.865678892,29.16363048,0.089061614,7.246376812,-15.0407,12.2157
71266,badri325,13.5936,1,7.759533898,28.1779661,0.07282839,6.170550847,-12.0957,11.0826
71267,badri326,9.4167,1.2,1.62477301,0.640351716,0.105132371,0.496989391,5.3063,2.0414
71268,badri327,4.6458,1.15,1.607903913,0,0,7.12901976,0.3601,0.2775
71269,badri328,1.2699,1.346,1.559177888,0.779588944,0,0,4.297,5.9835
71270,badri329,3.9753,1.065,4.618519357,25.94521168,0,4.799637763,0,0
71271,badri330,18.8658,1.044,9.254842095,26.84381261,0.076328595,4.660814808,-8.258,21.5248
71272,badri331,24.1272,1.187,8.508654133,23.13488511,0.059683677,3.644434497,-6.178,17.3629
71273,badri332,7.974,1.211,2.618510158,5.440180587,0.079006772,2.821670429,-145.2596,198.7408
71274,badri333,7.2135,1.402,2.121023082,0.835932626,0.13724267,0.424204616,6.9263,2.7363
71275,badri334,2.8116,1.072,3.457106274,2.560819462,0,0.320102433,0,0
71276,badri335,3.2895,1.235,8.125854993,4.131326949,0,30.53351573,-183.281,379.8293
71277,badri336,3.2373,1.104,3.919933278,29.19099249,0,0.834028357,0,0
71278,badri337,1.9305,1.192,1.864801865,31.60839161,0,0.512820513,0,0
71279,badri338,219.4317,1.217,3.772973549,1.610250479,7.377375284,23.3564248,-101.5554,108.9774
71280,badri339,1544.7213,2.23,3.144567243,6.102168721,1.209713364,14.46826039,-35.6592,34.1069
71281,badri340,2.4768,1.204,2.797965116,23.76453488,0,1.344476744,1.1083,8.2989
71282,badri341,2.7855,1.297,4.458804523,50.24232633,0,2.455573506,0,0
71283,badri342,695.6991,1.572,2.817726802,5.659256998,3.732734454,8.71579394,0.0004,0
71284,badri343,1.53,1.073,3.176470588,22,0,3,0,0
71285,badri344,9.252,1.207,9.494163424,4.494163424,0.194552529,0.097276265,20.0642,9.3712
71287,badri346,211.0581,1.026,3.719260242,1.190572643,7.666656717,24.10397895,-97.6726,106.0879
71288,badri347,5.4522,1.555,3.05381314,59.26048201,0,0.726312314,0,0
71289,badri348,38.7684,1.247,4.336521497,33.86340422,0.025536261,3.050422509,0.0009,0
71290,badri349,8.1765,1.249,0.891579527,0,0.16510732,1.320858558,0,0
71291,badri350,1.5255,1.487,3.89380531,15.75221239,0,1.828908555,0,0
71292,badri351,11.7882,1.079,5.367231638,10.94060162,0.167964575,11.10093144,-106.053,34.8874
71293,badri352,30.1446,1.317,7.538663641,20.44545292,0.04776975,2.934854004,-4.751,14.3283
71294,badri353,2.6766,1.104,5.110961668,65.23201076,0,2.252858104,0,0
71295,badri354,4.4739,1.182,6.437336552,11.56708912,0,0,0.6801,3.0044
71296,badri355,21.6036,1.317,3.716047325,30.03666056,0.020829862,1.85385769,-0.0005,0
71297,badri356,45.0261,1.821,4.1036199,36.37090488,0.021987247,2.714425633,0.0007,0
71298,badri357,48.717,1.358,4.140033253,35.0009237,0.020321448,2.580823942,0.0007,0
71299,badri358,35.6373,2.142,4.369017855,32.91158421,0.027779882,3.126499482,0.0009,0
71300,badri359,687.8205,2.546,2.836917481,5.556595071,3.775490844,8.794300257,0.0005,0
71301,badri360,0.9324,1.073,7.625482625,29.24710425,0,3.185328185,0,0
71302,badri361,684.3483,2.092,2.847760417,5.57242562,3.794646673,8.83615843,0.0005,0
71303,badri362,176.7888,1.085,7.073694714,3.153763134,1.453938259,30.71342755,-119.6838,178.9554
71304,badri363,19.0485,1.272,1.516654855,0.316560359,0.051972596,1.993857784,2.711,1.1776
71305,badri364,634.8258,1.586,2.752203833,3.321131561,4.089106019,9.326842104,0,0
71306,badri365,31.2894,1.685,4.441120635,29.76183628,0.031640108,3.348098717,0.0011,0
71307,badri366,48.3201,1.257,6.653131926,13.61545195,0.067052841,1.998547188,0.8819,10.6066
71308,badri367,7.1685,1.412,2.74952919,0,0,2.536095417,0,0
71309,badri368,209.6019,1.094,3.724918524,1.136583208,7.719920478,24.25898811,-96.9488,105.9535
71310,badri369,3.4947,1.162,9.605974762,19.26345609,0,1.545197013,-126.3222,143.4689
71039,badri37,43.1604,1.355,3.547001418,0.206439236,0.529652181,7.848861456,4.7447,1.6588
71311,badri370,79.074,1.204,5.279990895,0.751195083,8.941497837,1.541088095,-878.2805,407.0545
71312,badri371,18.6138,1.651,3.360410018,29.04941495,0.024175612,1.750314283,-0.0005,0
71313,badri372,1.2618,1.158,2.639087019,0,6.990014265,21.82596291,-539.4602,-572.8431
71314,badri373,167.9067,1.037,3.299689649,0.475978624,5.30330237,0.9991263,-927.9799,412.0266
71315,badri374,4.9473,1.414,4.657085683,10.09641623,0,2.583227215,-145.8161,238.7099
71316,badri375,6.7554,1.12,2.811084466,30.22915001,0,0.173194778,0,0
71317,badri376,28.44,1.124,3.560126582,10.40506329,0.237341772,8.911392405,-137.7975,194.0359
71318,badri377,10.1097,1.12,3.222647556,12.78376213,0.044511707,2.412534497,-0.001,0
71320,badri379,2.8341,1.108,44.0457288,0.952683392,0,11.52746904,-133.7714,497.4242
71321,badri380,2.34,1.095,3.692307692,30.38461538,0,6.076923077,0,0
71322,badri381,0.8568,1.071,2.62605042,0.945378151,0,0,0,0
71323,badri382,2.2851,1.104,0.472627019,5.080740449,0,0,0,0
71324,badri383,88.5213,1.206,1.510822819,0.231808616,2.072043678,0.518519272,-966.3234,430.3568
71325,badri384,15.4035,1.153,2.798714578,3.032427695,0,1.139351446,-143.8324,364.284
71326,badri385,34.5816,1.318,3.177701437,9.933895482,0.195190506,10.82656673,-131.1863,172.2913
71327,badri386,1.7649,1.155,4.232534421,3.620601734,0,0.509943906,0,0
71328,badri387,5.1516,1.165,0.401816911,0.593990217,0.174703005,0.069881202,0,0
71329,badri388,8.2638,1.178,2.439555652,7.253321716,0,5.129601394,0,0
71330,badri389,71.046,1.268,1.322523436,0.235621991,2.281479605,0.420572587,-915.9144,728.2928
71331,badri390,9.5364,1.541,40.98716497,4.83201208,0.169875425,11.77802945,-122.308,234.6779
71332,badri391,8.6778,1.275,0.96453018,0,0.134826799,5.320472931,0,0
71333,badri392,4.0437,1.709,2.092143334,9.726240819,0,17.82773203,-112.5397,150.7547
71334,badri393,230.247,1.293,3.364734394,2.443419458,0.651995466,13.802916,-135.3211,137.4205
71335,badri394,255.0483,1.752,3.38724077,3.192807009,0.596004757,13.55707919,-103.1604,103.3852
71336,badri395,2.2113,1.36,0.610500611,3.825803826,0,0.366300366,0,0
71337,badri396,8.5275,1.269,1.287598945,3.218997361,0,3.335092348,0,0
